Controle;VE | GDFV (%);Média;Desvio Padrão;Mínimo;Q1 25%;Mediana 50%;Q3 (75%);Máximo
Volt-VAr;80 | 40;7096,13;506,89;5680,23;6749,98;7079,28;7450,72;8709,49
Volt-VAr;80 | 60;7152,99;514,68;5696,85;6787,94;7146,23;7489,52;8948,45
Volt-VAr;80 | 80;7141,89;505,22;5691,56;6792,79;7119,16;7478,63;8714,58
Volt-Watt;0 | 100;0;0;0;0;0;0;0
Volt-Watt;0 | 20;0;0;0;0;0;0;0
Volt-Watt;0 | 40;0;0;0;0;0;0;0
Volt-Watt;0 | 60;0;0;0;0;0;0;0
Volt-Watt;0 | 80;0;0;0;0;0;0;0
Volt-Watt;100 | 0;1368,31;0,27;1367,2;1368,16;1368,35;1368,49;1369,03
Volt-Watt;100 | 100;1382,56;3,14;1373,02;1380,41;1382,34;1384,62;1393,21
Volt-Watt;100 | 20;1372,81;1,74;1368,64;1371,55;1372,66;1373,91;1378,72
Volt-Watt;100 | 40;1376,62;2,59;1370,39;1374,73;1376,5;1378,33;1384,83
Volt-Watt;100 | 60;1379,14;3,05;1371,23;1376,99;1379;1381,22;1389,21
Volt-Watt;100 | 80;1381,04;3,18;1373,16;1378,8;1380,85;1383,06;1392,85
Volt-Watt;20 | 0;262,85;0,75;260,8;262,35;262,84;263,38;264,87
Volt-Watt;20 | 100;265,4;0,73;262,36;264,9;265,47;265,92;267,46
Volt-Watt;20 | 20;263,73;0,75;261,29;263,24;263,74;264,25;266,53
Volt-Watt;20 | 40;264,41;0,76;261,95;263,91;264,45;264,92;266,72
Volt-Watt;20 | 60;264,81;0,78;261,97;264,31;264,86;265,35;267,3
Volt-Watt;20 | 80;265,15;0,79;262,56;264,65;265,17;265,68;267,18
Volt-Watt;40 | 0;554,54;3,24;551,31;553,78;554,43;555,1;634,45
Volt-Watt;40 | 100;559,93;1,38;555,2;558,95;559,89;560,86;563,72
Volt-Watt;40 | 20;556,41;6,08;552,67;555,44;556,23;556,96;715,35
Volt-Watt;40 | 40;557,75;1,29;554,05;556,85;557,77;558,64;562,78
Volt-Watt;40 | 60;558,66;1,36;555,21;557,64;558,63;559,53;563,15
Volt-Watt;40 | 80;559,32;1,4;554,37;558,35;559,36;560,19;564,06
Volt-Watt;60 | 0;816,37;1,02;813,32;815,64;816,39;817,06;820,44
Volt-Watt;60 | 100;824,47;1,92;818,61;823,15;824,41;825,75;829,89
Volt-Watt;60 | 20;819,1;1,38;815,31;818,19;819,06;820,06;823,5
Volt-Watt;60 | 40;821,36;1,73;816,18;820,19;821,32;822,5;828
Volt-Watt;60 | 60;822,81;1,85;816,51;821,56;822,76;824,03;828,25
Volt-Watt;60 | 80;823,22;19,43;236,16;822,5;823,83;825,17;829,57
Volt-Watt;80 | 0;1107,09;0,88;1104,09;1106,46;1107,08;1107,74;1110,23
Volt-Watt;80 | 100;1118,46;2,65;1111,65;1116,55;1118,43;1120,25;1126,73
Volt-Watt;80 | 20;1110,78;1,65;1104,88;1109,61;1110,69;1111,91;1116,1
Volt-Watt;80 | 40;1113,76;2,22;1106,78;1112,17;1113,63;1115,26;1121,01
Volt-Watt;80 | 60;1115,63;2,52;1108,25;1113,88;1115,61;1117,21;1124,25
Volt-Watt;80 | 80;1117,2;2,46;1110,75;1115,38;1117,29;1118,89;1124,1
